needle	sample	gc_lower	gc_upper	depth_lower	depth_upper
11116931411169434	33	0	0	33	0
11116935211169472	37	0	0	37	0
11118778711187907	73	0	61	38	0
1114944024114944144	35	0	0	35	0
1115247090115247210	100	0	0	100	0
1115251113115251233	38	0	0	38	0
1115251152115251272	37	0	0	36	1
1115251153115251273	37	0	0	36	1
1115252166115252286	32	0	0	30	2
1115252184115252304	32	0	0	30	2
1115252190115252310	32	0	0	30	2
1115252236115252356	33	0	0	33	0
1115252292115252412	41	0	0	41	0
1115256431115256551	38	0	0	38	0
1115256470115256590	99	0	87	54	0
1115258680115258800	55	0	0	55	0
1115258686115258806	55	0	1	54	0
11185630611856426	70	0	0	70	0
1154130137154130257	53	0	0	53	0
1154141799154141919	44	0	0	43	1
1154145617154145737	61	0	0	61	0
1162737032162737152	42	0	0	42	0
1162748330162748450	55	0	0	55	0
12091564120915761	93	0	0	93	0
12093141420931534	43	0	0	43	0
12710587127105991	76	0	0	76	0
12710674427106864	84	0	5	83	0
14381494943815069	87	0	5	85	0
16530693765307057	65	0	0	65	0
16532577265325892	63	0	0	63	0
16533899265339112	60	0	0	60	0
19791555497915674	47	0	2	46	0
2109374944109375064	65	0	0	65	0
2109375451109375571	78	0	0	78	0
2109376531109376651	84	3	0	84	0
2209113053209113173	76	0	0	76	0
2212483940212484060	45	0	0	45	0
2212578239212578359	61	1	0	60	0
2216191641216191761	45	0	0	45	0
2216260328216260448	70	0	0	70	0
2234668821234668941	75	9	0	70	0
22941609329416213	35	0	0	35	0
22941614129416261	34	0	0	33	1
22941623629416356	41	0	0	39	2
22941629929416419	41	0	0	40	1
22941631529416435	41	0	0	40	1
22941634629416466	40	0	0	39	1
22941640429416524	37	0	0	36	1
22941642129416541	37	0	0	36	1
22941646729416587	50	0	13	39	1
22941648229416602	44	0	3	41	0
22941655829416678	52	0	7	45	0
22941670129416821	43	0	7	41	0
22941959029419710	97	4	1	96	0
22942035529420475	72	0	36	56	0
22942041329420533	49	0	1	48	0
22942044129420560	45	0	0	45	0
22943260429432724	40	0	0	40	0
22943262229432742	37	0	0	37	0
22943266629432786	59	0	29	39	0
22943680529436925	63	0	0	63	0
22944353229443652	61	0	20	50	0
22944354729443667	49	0	0	49	0
22944356929443689	46	0	0	46	0
22944361529443735	45	0	1	44	0
22944362929443749	44	0	0	44	0
22944363729443757	48	0	4	44	0
22944457729444697	46	0	0	46	0
22944464629444766	45	0	0	45	0
22944482229444942	64	0	0	64	0
22944507929445199	34	0	0	33	1
22944514429445264	39	0	0	38	1
22944516329445283	44	0	1	42	1
22944520629445326	47	0	1	46	0
22944529329445413	41	0	0	40	1
22944531629445436	46	0	0	45	1
22944536829445488	60	0	0	60	0
22944580229445922	46	0	5	40	1
22944589329446013	29	0	0	25	4
22944593429446054	33	0	0	29	4
22944597329446093	32	0	0	29	3
22944603629446156	34	0	0	31	3
22944610329446223	34	0	0	31	3
22944612829446248	34	0	0	31	3
22944616929446289	32	0	0	29	3
22944618529446305	32	0	0	29	3
22944621429446334	28	0	0	26	2
22944624329446363	26	0	0	23	3
22944626629446386	26	0	0	23	3
22944628829446408	27	0	0	25	2
22944629729446417	28	0	0	27	1
22944631329446433	31	0	0	31	0
22944633329446453	39	0	0	39	0
22944825429448374	57	0	2	56	0
22944831029448430	42	0	0	42	0
22944835029448470	42	0	0	42	0
22944837029448490	49	0	4	46	0
22944974929449869	35	0	0	27	8
22944986329449983	59	8	0	59	0
22945045029450570	88	0	0	88	0
22945170229451822	88	0	24	79	0
22945172429451844	82	0	17	74	0
22945175529451875	72	0	0	72	0
22945177929451899	73	0	0	73	0
22945182529451945	73	0	0	73	0
22945185429451974	77	0	0	77	0
22945512929455249	42	0	0	42	0
22945516329455283	42	0	0	42	0
22945520029455320	46	0	0	46	0
22945522829455348	62	0	31	50	0
22946261229462732	66	0	0	66	0
22949791529498035	37	0	0	36	1
22949794629498066	34	0	0	32	2
22949797829498098	33	0	0	33	0
22949801829498138	42	0	0	42	0
22949828629498406	69	0	0	69	0
22951975429519874	32	0	0	30	2
22951975829519878	31	0	0	29	2
22951982429519944	38	0	0	36	2
22951984029519960	39	0	0	39	0
22954116029541280	56	0	0	56	0
22954366229543782	56	0	0	56	0
22955116929551289	48	0	0	48	0
22955121129551331	35	0	0	34	1
22955125429551374	37	0	0	37	0
22955127829551398	43	0	0	43	0
22960655429606674	37	0	0	36	1
22960661929606739	33	0	0	30	3
22960664129606761	41	0	3	37	2
22975475029754870	55	0	18	41	0
22975483629754956	36	0	0	35	1
22975484829754968	34	0	0	33	1
22975488229755002	36	0	0	35	1
22975491229755032	39	0	2	38	0
22991772929917849	44	0	0	44	0
22991777329917893	45	0	2	43	0
22991779829917918	82	0	58	45	0
22994047429940594	48	0	0	48	0
23014283230142952	59	0	0	59	0
23014284930142969	59	0	0	59	0
23014295330143073	65	0	0	65	0
23014343930143559	86	0	12	80	0
23713270137132821	45	0	0	45	0
23713501837135137	77	33	2	64	0
23713518437135304	50	0	0	50	0
23713951437139634	45	0	0	44	1
24247276742472887	42	0	0	42	0
24249181242491932	91	0	0	91	0
24249203142492151	41	0	0	41	0
24249265942492779	69	0	0	69	0
24252259642522716	45	0	0	45	0
24252304342523163	80	0	58	45	1
24252408142524201	63	0	0	63	0
24252517142525291	65	0	0	65	0
