needle	chr	start	end	sample	gc_lower	gc_upper	depth_lower	depth_upper
1115247090115247210	1	115247090	115247210	289	0	0	289	0
1115256470115256590	1	115256470	115256590	312	0	262	194	0
12091564120915761	1	20915641	20915761	274	0	0	274	0
12710674427106864	1	27106744	27106864	258	0	5	258	0
14381494943815069	1	43814949	43815069	263	0	5	263	0
2109376531109376651	2	109376531	109376651	290	4	0	290	0
2209113053209113173	2	209113053	209113173	242	0	8	242	0
2234668821234668941	2	234668821	234668941	271	55	8	246	0
22941959029419710	2	29419590	29419710	251	13	2	250	0
24249181242491932	2	42491812	42491932	283	3	0	283	0
24255261442552733	2	42552614	42552733	326	0	272	320	0
24255281642552936	2	42552816	42552936	253	0	0	253	0
417370271737147	4	1737027	1737147	281	0	0	281	0
417373981737518	4	1737398	1737518	289	0	0	289	0
417392651739385	4	1739265	1739385	270	0	24	265	0
418060351806155	4	1806035	1806155	273	0	18	269	1
418089061809026	4	1808906	1809026	260	0	29	245	5
45552413455524254	4	55524134	55524254	263	0	6	261	0
5170819038170819158	5	170819038	170819158	250	0	1	250	0
5170819483170819603	5	170819483	170819603	252	89	26	218	0
5170819640170819760	5	170819640	170819760	254	88	11	217	0
6117642496117642616	6	117642496	117642616	292	1	197	230	1
7116381008116381128	7	116381008	116381128	273	0	208	158	3
7128851533128851653	7	128851533	128851653	242	0	0	241	1
9139390589139390709	9	139390589	139390709	271	0	32	266	1
9139395162139395282	9	139395162	139395282	254	0	6	248	4
92197106021971180	9	21971060	21971180	249	0	6	236	11
103230702432307144	10	32307024	32307144	289	0	243	193	0
105158409451584214	10	51584094	51584214	291	0	0	291	0
11533814533934	11	533814	533934	253	0	1	250	3
116735262967352749	11	67352629	67352749	256	0	0	256	0
12122977276122977396	12	122977276	122977396	294	0	0	294	0
133290736732907487	13	32907367	32907487	303	266	0	172	0
133293055032930670	13	32930550	32930670	266	0	262	93	0
133293068632930806	13	32930686	32930806	265	0	256	97	0
173787977837879898	17	37879778	37879898	277	9	267	220	1
1775770797577199	17	7577079	7577199	281	0	210	178	0
1775793557579475	17	7579355	7579475	272	0	80	264	0
1775796397579759	17	7579639	7579759	310	7	27	308	0
194405566644055786	19	44055666	44055786	262	0	112	243	2
